1 Villanova
>99%
99%
99%
99%
97%
99%
1 Gonzaga
99%
96%
98%
98%
99%
99%
1 North Carolina
99%
95%
98%
98%
98%
99%
1 Kansas
>99%
96%
98%
97%
95%
98%
2 Duke
99%
96%
97%
95%
92%
97%
2 Kentucky
99%
95%
97%
97%
96%
97%
2 Arizona
98%
95%
95%
93%
93%
95%
2 Louisville
98%
94%
97%
98%
93%
98%
3 Baylor
93%
91%
90%
91%
84%
89%
3 Florida State
82%
81%
88%
87%
86%
91%
3 Oregon
94%
91%
92%
96%
89%
94%
3 U.C.L.A.
97%
93%
94%
96%
92%
94%
4 Purdue
89%
84%
86%
84%
77%
85%
4 Butler
93%
88%
89%
89%
84%
89%
4 West Virginia
91%
87%
90%
93%
88%
93%
4 Florida
83%
83%
87%
92%
83%
88%
5 Virginia
79%
78%
84%
89%
79%
85%
5 Iowa State
79%
75%
83%
77%
73%
77%
5 Notre Dame
86%
82%
75%
76%
69%
78%
5 Minnesota
59%
56%
52%
54%
54%
62%
6 Cincinnati
82%
76%
63%
71%
61%
66%
6 S.M.U.
85%
77%
79%
84%
77%
75%
6 Creighton
61%
58%
56%
61%
60%
65%
6 Maryland
57%
56%
51%
42%
49%
46%
7 Saint Mary's
48%
50%
74%
82%
71%
68%
7 Michigan
77%
73%
63%
69%
51%
51%
7 Dayton
32%
30%
31%
28%
25%
26%
7 South Carolina
44%
39%
57%
44%
49%
50%
8 Arkansas
46%
45%
51%
54%
54%
54%
8 Northwestern
53%
48%
45%
47%
49%
51%
8 Miami
41%
38%
55%
57%
54%
55%
8 Wisconsin
71%
69%
79%
75%
67%
71%
9 Seton Hall
54%
49%
49%
46%
46%
46%
9 Michigan State
59%
56%
45%
43%
46%
45%
9 Vanderbilt
47%
47%
55%
53%
52%
49%
9 Virginia Tech
29%
28%
21%
25%
34%
29%
10 Virginia Commonwealth
52%
45%
26%
18%
29%
32%
10 Marquette
56%
57%
43%
56%
51%
50%
10 Oklahoma State
23%
22%
37%
31%
49%
49%
10 Wichita State
68%
65%
69%
72%
75%
74%
11 Xavier
43%
39%
49%
58%
51%
54%
11 Providence / U.S.C.
15%
19%
21%
16%
23%
25%
11 Kansas State / Wake Forest
18%
17%
37%
29%
39%
34%
11 Rhode Island
39%
36%
44%
39%
40%
35%
12 U.N.C. Wilmington
21%
19%
16%
11%
22%
15%
12 Nevada
21%
20%
17%
23%
27%
23%
12 Middle Tennessee
41%
38%
48%
46%
46%
38%
12 Princeton
14%
13%
25%
24%
31%
22%
13 East Tennessee State
17%
14%
13%
8%
17%
12%
13 Vermont
11%
11%
14%
16%
23%
15%
13 Bucknell
9%
9%
10%
7%
12%
7%
13 Winthrop
8%
7%
11%
11%
16%
11%
14 Iona
6%
4%
8%
4%
11%
6%
14 New Mexico State
7%
6%
10%
9%
16%
11%
14 Florida Gulf Coast
19%
15%
12%
13%
14%
9%
14 Kent State
3%
3%
6%
4%
8%
6%
15 North Dakota
2%
2%
5%
7%
8%
5%
15 Jacksonville State
2%
2%
3%
2%
7%
2%
15 Northern Kentucky
1%
1%
3%
3%
4%
3%
15 Troy
1%
1%
3%
5%
8%
3%
16 South Dakota State
1%
1%
2%
2%
2%
1%
16 Texas Southern
1%
1%
2%
2%
2%
1%
16 Mt. Saint Mary's / New Orleans
<1%
1%
1%
1%
3%
1%
16 N.C. Central / U.C. Davis
<1%
1%
2%
3%
5%
2%
